#{"t_start": 1762026536.480345, "env_id": "None"}
r,l,t
34.2,340,469.206238
30.1,340,469.453459
-1.7,2700,470.368544
41.2,414,470.618601
21.3,340,473.85286
34.235714,457,474.185377
24.8,414,474.447618
27.8,414,474.701847
42.0,340,474.931985
41.8,340,475.163401
40.4,340,475.40785
34.0,340,475.673074
30.4,340,475.950905
31.3,340,476.202985
89.392857,2700,477.12649
20.6,414,477.378025
42.6,414,477.628772
37.8,340,477.858535
34.5,340,478.10218
18.4,414,478.393705
38.9,340,481.824373
11.55,1395,482.399803
42.0,340,482.647622
-31.8,1522,483.253037
28.7,414,483.529699
102.3,2700,484.454966
29.5,340,484.685457
42.7,414,484.953577
30.2,340,485.194657
33.3,414,485.464126
31.742857,2256,489.260633
-12.257143,2139,490.009751
40.371429,424,490.283231
24.4,340,490.541491
22.5,414,490.840663
42.0,340,491.111186
41.2,414,491.376453
42.0,340,491.624915
36.7,340,491.893361
41.9,414,492.1731
38.2,340,492.406292
6.4,414,495.639741
34.9,414,495.933035
23.7,414,496.211635
37.0,340,496.46843
32.0,414,496.742333
42.0,340,497.011252
41.3,340,497.256495
77.5,2700,498.177982
21.4,414,498.452695
42.0,340,498.719611
23.992857,428,499.016781
8.2,340,499.277248
21.9,340,499.52345
-34.9,860,499.899349
27.2,414,503.283583
34.2,340,503.575332
42.0,340,503.853403
42.0,340,504.116794
34.214286,2700,505.035746
39.2,340,505.264234
33.1,414,505.516644
20.2,414,505.78718
32.9,340,506.052459
42.9,414,506.34601
30.9,340,506.588076
43.492857,426,506.844226
23.5,414,507.096613
42.0,340,507.340093
21.8,414,507.635984
31.5,414,507.922718
42.0,340,511.460826
19.2,340,511.718773
21.0,340,511.949299
42.0,340,512.200725
40.2,340,512.470757
11.6,340,512.74636
24.0,414,513.0183
31.6,414,513.272491
24.7,340,513.504788
27.6,414,513.754236
29.2,414,514.002289
36.5,414,514.252814
9.814286,423,514.505445
28.9,414,514.771824
37.1,414,515.045931
12.0,414,515.298032
18.2,414,515.551889
39.9,340,515.798451
33.4,414,516.091352
26.6,414,516.364378
17.892857,426,516.642057
37.4,414,520.391694
37.5,340,520.667226
42.4,414,520.970237
16.664286,422,521.275382
42.0,340,521.548073
11.314286,423,521.856107
44.064286,424,522.153375
34.1,340,522.422553
22.1,414,522.705287
39.0,340,522.938166
25.5,414,523.188588
42.0,340,523.419236
28.0,414,523.668806
41.8,340,523.918604
17.0,414,524.194997
29.2,340,524.423164
31.3,340,524.667896
42.0,340,524.941156
40.7,340,525.211885
41.3,340,525.489499
42.0,340,525.736039
17.714286,423,529.46485
31.4,414,529.764548
12.7,414,530.0231
42.0,340,530.274778
39.7,340,530.557235
21.314286,416,530.838904
46.814286,452,531.128468
35.7,340,531.372328
40.2,340,531.618719
32.242857,424,531.918016
38.3,340,532.189881
24.3,340,532.436529
42.0,414,532.685153
42.0,340,532.914393
41.5,340,533.166651
45.135714,422,533.447607
29.0,414,533.703994
40.2,340,533.949528
40.4,340,534.193863
36.3,340,534.420407
41.2,340,534.647923
23.7,340,534.894586
41.4,340,538.634719
14.592857,426,538.959217
16.0,414,539.225654
34.5,340,539.477127
-22.65,623,539.817465
39.8,340,540.06838
15.5,414,540.368407
39.1,340,540.617311
42.192857,440,540.900171
32.307143,418,541.159464
35.5,340,541.410195
17.0,414,541.709858
31.9,340,541.976972
40.4,340,542.227881
42.0,340,542.459776
35.9,340,542.69407
14.4,414,542.966603
29.3,340,543.230399
41.9,414,543.521679
14.1,414,543.792762
34.2,414,544.04311
19.1,414,547.702849
27.907143,420,547.978784
25.8,414,548.261447
19.1,414,548.540708
39.2,340,548.775775
40.2,340,549.023723
33.4,414,549.297927
45.507143,433,549.578669
27.1,414,549.866605
26.05,2157,550.649044
31.05,453,550.937947
39.2,414,551.226052
42.0,340,551.500153
25.1,340,551.759265
39.5,340,552.007633
34.9,340,552.260504
7.071429,1856,556.230695
31.1,340,556.488161
33.7,340,556.760155
35.9,414,557.038159
13.6,340,557.294429
60.678571,2700,558.245571
41.6,340,558.476544
32.0,414,558.746731
21.7,414,559.03972
29.5,340,559.306837
42.0,340,559.564479
42.0,340,559.819744
24.1,414,563.182371
19.2,340,563.437466
41.15,428,563.722169
38.8,340,563.995856
32.1,414,564.296711
19.857143,423,564.600178
38.0,340,564.866124
25.1,340,565.137682
18.8,340,565.41463
43.1,414,565.694243
15.7,340,565.945272
40.9,340,566.223933
42.0,340,566.496672
29.3,414,566.798975
42.0,340,567.048266
40.4,340,567.276752
7.485714,1830,567.931162
40.4,340,568.159598
41.7,414,571.781612
35.2,414,572.069225
18.6,414,572.323178
15.3,414,572.602404
23.1,340,572.874478
42.0,340,573.129606
14.0,414,573.410787
18.3,414,573.685521
30.8,414,573.961842
37.4,340,574.212861
32.3,340,574.457066
25.9,340,574.726118
-33.45,777,575.113529
-5.0,946,575.514069
25.442857,410,575.764416
42.0,340,576.009471
36.7,340,576.257865
27.064286,417,576.532525
40.0,340,576.80127
21.1,414,580.488232
-20.257143,1093,580.961363
14.3,340,581.21764
9.6,414,581.517551
42.0,340,581.7941
31.471429,424,582.072722
23.3,414,582.350368
30.0,414,582.640119
45.942857,2700,583.58917
24.8,414,583.840129
20.814286,423,584.091181
38.2,340,584.339129
39.8,340,584.587983
35.5,340,587.889021
46.164286,427,588.209108
23.2,340,588.486223
10.2,414,588.78076
42.0,340,589.030292
34.6,340,589.265228
41.7,340,589.496495
21.7,340,589.726647
-40.9,1458,590.272873
26.8,340,590.519562
41.7,340,590.793949
43.0,414,591.098254
8.1,340,591.366682
42.0,340,591.62054
33.2,340,591.868213
20.45,416,592.146889
20.1,414,592.400335
107.928571,2700,596.578887
20.7,414,596.830396
13.9,414,597.079303
40.7,340,597.332015
24.9,340,597.60844
17.0,414,597.907764
29.9,414,598.202106
42.0,340,598.458711
26.4,414,598.733267
33.564286,426,599.03195
29.7,340,599.277451
23.557143,425,599.557799
27.9,414,599.823742
36.7,340,600.054331
19.5,414,600.302025
34.7,340,600.529141
27.3,340,600.779085
30.9,340,604.303217
36.8,340,604.597533
42.0,340,604.87455
42.0,340,605.133776
12.9,1384,605.665167
41.8,340,605.893475
10.0,414,606.162465
42.0,340,606.424001
-12.6,1676,607.066295
42.0,340,607.309883
20.442857,426,607.581238
3.742857,427,607.855974
42.0,340,608.099162
37.8,340,608.328912
-18.0,674,608.657994
27.278571,424,612.069351
19.2,414,612.387207
35.5,340,612.658029
16.442857,427,612.958248
42.0,340,613.226555
21.4,340,613.500504
28.2,340,613.778957
32.2,340,614.060067
42.0,340,614.337925
41.8,340,614.593047
-4.835714,2420,615.439747
38.6,414,615.711678
16.3,414,616.001852
27.0,340,616.26612
27.4,414,616.565226
40.9,340,616.812766
26.5,340,617.062408
34.1,340,620.620975
33.6,414,620.902242
42.0,340,621.152338
20.1,340,621.403637
33.3,414,621.655659
19.2,340,621.906945
10.8,340,622.179286
27.335714,424,622.462691
54.535714,2700,623.396059
35.3,340,623.626865
38.8,340,623.873762
24.6,414,624.137471
-13.9,960,624.547114
22.542857,441,627.883125
26.8,340,628.178849
15.5,340,628.435769
21.4,414,628.713479
28.171429,340,628.979337
41.0,340,629.232585
26.385714,427,629.511388
23.864286,424,629.792706
42.0,340,630.041576
